[15:12:57] [ServerMain/INFO]: Building unoptimized datafixer
[15:12:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:13:02] [ServerMain/INFO]: Loaded 7 recipes
[15:13:02] [ServerMain/INFO]: Loaded 1179 advancements
[15:13:04] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[15:13:04] [Server thread/INFO]: Starting minecraft server version 1.19
[15:13:04] [Server thread/INFO]: Loading properties
[15:13:04] [Server thread/INFO]: Default game type: SURVIVAL
[15:13:04] [Server thread/INFO]: Generating keypair
[15:13:04] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:13:04] [Server thread/INFO]: Using epoll channel type
[15:13:05] [Server thread/INFO]: Preparing level "world"
[15:13:05] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:13:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
